iter	RMSE
0	40.96678167
1	39.70757349
2	38.41539893
3	37.2503449
4	36.01519998
5	35.00478665
6	33.94295302
7	33.02849243
8	32.11503428
9	31.14365172
10	30.18392081
11	29.34129119
12	28.38581272
13	27.48228951
14	26.56146295
15	25.69046736
16	24.90414436
17	24.2786921
18	23.61075458
19	22.89643255
20	22.23640696
21	21.536124
22	20.87805978
23	20.24282374
24	19.66877968
25	19.06811488
26	18.5143468
27	17.98643733
28	17.4365988
29	16.99774988
30	16.5205306
31	16.08911637
32	15.65012037
33	15.20807162
34	14.80580849
35	14.40160504
36	14.02923646
37	13.65818167
38	13.2789498
39	12.91528916
40	12.59488545
41	12.26517746
42	11.95304102
43	11.64065616
44	11.33225199
45	11.03162412
46	10.75348568
47	10.51263365
48	10.29150524
49	10.05579305
50	9.835140412
51	9.633712262
52	9.414257374
53	9.236192279
54	9.025408467
55	8.823622826
56	8.630774685
57	8.450390614
58	8.277256807
59	8.09401429
60	7.93510041
61	7.777869954
62	7.634849327
63	7.503383605
64	7.367220217
65	7.235610794
66	7.113467456
67	6.999010989
68	6.879810503
69	6.764925822
70	6.67744315
71	6.582090817
72	6.481388396
73	6.395148869
74	6.310719281
75	6.234086071
76	6.143267406
77	6.056028962
78	5.987964894
79	5.909629423
80	5.837095748
81	5.761184032
82	5.70931741
83	5.655241009
84	5.605720699
85	5.553031665
86	5.507880297
87	5.456544216
88	5.400273325
89	5.345706838
90	5.301676528
91	5.254816244
92	5.211719427
93	5.169689277
94	5.1335968
95	5.087030567
96	5.048201456
97	5.008823102
98	4.966779523
99	4.928991991
100	4.891545547
101	4.855046318
102	4.82346692
103	4.792781286
104	4.762503551
105	4.73619737
106	4.706440373
107	4.680102198
108	4.652033628
109	4.628378205
110	4.603494562
111	4.581956008
112	4.564521673
113	4.541233553
114	4.520547216
115	4.499635689
116	4.47680142
117	4.458896843
118	4.44003922
119	4.422873903
120	4.407205225
121	4.391353978
122	4.375762918
123	4.358934651
124	4.342416893
125	4.331600145
126	4.314628265
127	4.301236363
128	4.286192933
129	4.272881054
130	4.257884347
131	4.246658521
132	4.233152381
133	4.223233534
134	4.212633241
135	4.201352035
136	4.192238213
137	4.179061533
138	4.1678001
139	4.155652518
140	4.142953751
141	4.134231732
142	4.120943066
143	4.109856089
144	4.099434236
145	4.09272765
146	4.08157646
147	4.075011017
148	4.063789609
149	4.053432208
150	4.047341434
151	4.037528398
152	4.030126251
153	4.025484893
154	4.018058566
155	4.010526266
156	4.002851565
157	3.997326772
158	3.991721824
159	3.986215389
160	3.974749981
161	3.966553642
162	3.960382636
163	3.955960596
164	3.949545747
