iter	Passed	Remaining
0	1	1378
1	2	1469
2	3	1278
3	4	1155
4	5	1100
5	8	1374
6	9	1377
7	10	1321
8	11	1277
9	13	1299
10	14	1294
11	15	1278
12	16	1258
13	17	1246
14	19	1259
15	20	1232
16	21	1244
17	23	1297
18	24	1280
19	25	1259
20	26	1241
21	27	1226
22	29	1251
23	30	1242
24	31	1230
25	32	1221
26	33	1219
27	113	3952
28	157	5274
29	629	20353
30	1744	54543
31	2224	67296
32	2368	69407
33	2417	68682
34	2621	72271
35	2893	77479
36	3606	93865
37	3735	94575
38	4048	99768
39	4232	101577
40	4307	100748
41	4325	98664
42	4412	98198
43	4439	96465
44	4591	97431
45	4740	98310
46	4856	98463
47	5113	101415
48	5149	99949
49	5468	103907
50	5714	106332
51	5809	105912
52	5914	105672
53	5945	104147
54	6029	103589
55	6068	102294
56	6149	101737
57	6201	100716
58	6303	100527
59	6354	99555
60	6443	99191
61	6471	97909
62	6573	97763
63	6598	96508
64	6697	96342
65	6735	95312
66	6851	95411
67	7097	97282
68	7172	96772
69	7368	97897
70	7444	97413
71	7606	98039
72	7687	97614
73	7758	97088
74	7864	96999
75	7895	95988
76	7943	95218
77	7982	94357
78	8096	94393
79	8120	93390
80	8157	92551
81	8178	91558
82	8206	90667
83	8225	89700
84	8260	88920
85	8357	88819
86	8437	88545
87	8525	88360
88	8588	87907
89	8682	87788
90	8744	87347
91	8777	86632
92	8832	86142
93	8946	86225
94	8976	85511
95	9065	85363
96	9090	84630
97	9116	83905
98	9150	83274
99	9189	82708
100	9219	82058
101	9253	81470
102	9288	80893
103	9324	80332
104	9356	79748
105	9416	79422
106	9451	78881
107	9517	78608
108	9579	78309
109	9599	77665
110	9684	77562
111	9703	76936
112	9745	76499
113	9781	76024
114	9814	75525
115	9869	75210
116	9974	75280
117	10004	74778
118	10053	74431
119	10074	73879
120	10094	73332
121	10146	73021
122	10177	72566
123	10196	72035
124	10222	71560
125	10251	71112
126	10285	70705
127	10308	70223
128	10340	69820
129	10360	69337
130	10394	68955
131	10428	68577
132	10461	68196
133	10557	68230
134	10592	67872
135	10613	67424
136	10630	66966
137	10646	66501
138	10661	66037
139	10682	65619
140	10703	65209
141	10736	64870
142	10768	64537
143	10787	64123
